algorithm,k,silhouette_score,davies_bouldin_index,calinski_harabasz_index,cluster_count,cluster_sizes,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,average_metric_rank
K-Means,3,0.2840473101981827,1.2108848077522207,450.3013039491605,3,"1163,532,18",1.0,1.0,2.0,1.3333333333333333
K-Means,2,0.28393003714360854,1.566504490927152,482.30903993262865,2,"1157,556",2.0,4.0,1.0,2.3333333333333335
K-Means,4,0.1731129520986987,1.4020909550336007,411.65475419536966,4,"18,442,546,707",4.0,2.0,3.0,3.0
Agglomerative,3,0.23208349515285423,1.4891189649304124,343.32493036803265,3,"571,1097,45",3.0,3.0,4.0,3.3333333333333335
Gaussian Mixture,3,0.12514489483184277,1.8630895995829986,275.72809138656993,3,"531,227,955",5.0,5.0,5.0,5.0
