performance_segment,ACO_Year_Count,Unique_ACOs,Avg_SavingsLossPct,Avg_ExpenditureVariancePct,Avg_QualityScore,Avg_UtilizationScore,Avg_RiskScore,Avg_PerformanceIndex
High Performing,1163,417,3.83740978429918,-3.80989252415823,89.37589853826312,32.40201832448817,0.9978559759243336,0.853702853832947
Moderate,532,248,4.468071529428021,-4.347659701899851,87.04907894736843,80.34396380697471,1.0355571741854637,0.684542244159304
Needs Attention,18,18,2.4442850024396927,-2.180904995460981,83.33,69.62299106109027,0.9873194444444445,0.0447248130545761
